Name, Year, WikiLink
Humayun Abdulali, 1914, /wiki/Humayun_Abdulali
Aziz Ab%27Saber, 1924, /wiki/Aziz_Ab%27Saber
Edgar Douglas Adrian, 1889, /wiki/Edgar_Douglas_Adrian
Pedro Alberch i Vi%C3%A9, 1954, /wiki/Pedro_Alberch_i_Vi%C3%A9
Bruce Alberts, 1938, /wiki/Bruce_Alberts
Boyd Alexander, 1873, /wiki/Boyd_Alexander
Horace Alexander, 1889, /wiki/Horace_Alexander
Richard D. Alexander, 1930, /wiki/Richard_D._Alexander
Wilfred Backhouse Alexander, 1885, /wiki/Wilfred_Backhouse_Alexander
Alfred William Alcock, 1859, /wiki/Alfred_William_Alcock
Salim Ali (ornithologist), 1896, /wiki/Salim_Ali_(ornithologist)
W. C. Allee, 1885, /wiki/W._C._Allee
Sidney Altman, 1939, /wiki/Sidney_Altman
Bruce Ames, 1928, /wiki/Bruce_Ames
Adolf Appell%C3%B6f, 1857, /wiki/Adolf_Appell%C3%B6f
Gilbert Ashwell, 1916, /wiki/Gilbert_Ashwell
Charlotte Auerbach, 1899, /wiki/Charlotte_Auerbach
Richard Axel, 1946, /wiki/Richard_Axel
Julius Axelrod, 1912, /wiki/Julius_Axelrod
Curt Backeberg, 1894, /wiki/Curt_Backeberg
Liberty Hyde Bailey, 1858, /wiki/Liberty_Hyde_Bailey
David Baltimore, 1938, /wiki/David_Baltimore
Robert B%C3%A1r%C3%A1ny, 1876, /wiki/Robert_B%C3%A1r%C3%A1ny
Patrick Bateson, 1938, /wiki/Patrick_Bateson
Rollo Beck, 1870, /wiki/Rollo_Beck
Charles William Beebe, 1877, /wiki/Charles_William_Beebe
Martinus Beijerinck, 1851, /wiki/Martinus_Beijerinck
David Bellamy, 1933, /wiki/David_Bellamy
Wilson Teixeira Beraldo, 1917, /wiki/Wilson_Teixeira_Beraldo
Hans Berger, 1873, /wiki/Hans_Berger
Samuel Stillman Berry, 1887, /wiki/Samuel_Stillman_Berry
Colin Bibby, 1948, /wiki/Colin_Bibby
Johannes Abraham Bierens de Haan, 1883, /wiki/Johannes_Abraham_Bierens_de_Haan
Ann Bishop (biologist), 1899, /wiki/Ann_Bishop_(biologist)
Biswamoy Biswas, 1923, /wiki/Biswamoy_Biswas
Elizabeth Blackburn, 1948, /wiki/Elizabeth_Blackburn
Albert Francis Blakeslee, 1874, /wiki/Albert_Francis_Blakeslee
G%C3%BCnter Blobel, 1936, /wiki/G%C3%BCnter_Blobel
Steven Block, 1952, /wiki/Steven_Block
James Bond (ornithologist), 1900, /wiki/James_Bond_(ornithologist)
Jules Bordet, 1870, /wiki/Jules_Bordet
Antonina Georgievna Borissova, 1903, /wiki/Antonina_Georgievna_Borissova
Norman Borlaug, 1914, /wiki/Norman_Borlaug
George Albert Boulenger, 1858, /wiki/George_Albert_Boulenger
Sara Branham Matthews, 1888, /wiki/Sara_Branham_Matthews
Sydney Brenner, 1927, /wiki/Sydney_Brenner
William Brewster (ornithologist), 1851, /wiki/William_Brewster_(ornithologist)
Nathaniel Lord Britton, 1859, /wiki/Nathaniel_Lord_Britton
Thomas D. Brock, 1926, /wiki/Thomas_D._Brock
Robert Broom, 1866, /wiki/Robert_Broom
David Bruce (microbiologist), 1855, /wiki/David_Bruce_(microbiologist)
Linda B. Buck, 1947, /wiki/Linda_B._Buck
Carlos Bustamante, 1951, /wiki/Carlos_Bustamante
Ernesto Bustamante, 1950, /wiki/Ernesto_Bustamante
Frederick Campion Steward, 1904, /wiki/Frederick_Campion_Steward
Alexis Carrel, 1873, /wiki/Alexis_Carrel
