Name, Year, WikiLink
Emil Abderhalden,1877, /wiki/Emil_Abderhalden
Richard Abegg,1869, /wiki/Richard_Abegg
Homer Burton Adkins,1892, /wiki/Homer_Burton_Adkins
Peter Agre,1949, /wiki/Peter_Agre
Adrien Albert,1907, /wiki/Adrien_Albert
John Albery,1936, /wiki/John_Albery
Kurt Alder,1902, /wiki/Kurt_Alder
Sidney Altman,1939, /wiki/Sidney_Altman
Christian B. Anfinsen,1916, /wiki/Christian_B._Anfinsen
Anton Eduard van Arkel,1893, /wiki/Anton_Eduard_van_Arkel
Svante Arrhenius,1859, /wiki/Svante_Arrhenius
Francis William Aston,1877, /wiki/Francis_William_Aston
Werner Emmanuel Bachmann,1901, /wiki/Werner_Emmanuel_Bachmann
Leo Baekeland,1863, /wiki/Leo_Baekeland
Hendrik Willem Bakhuis Roozeboom,1854, /wiki/Hendrik_Willem_Bakhuis_Roozeboom
Allen J. Bard,1933, /wiki/Allen_J._Bard
Neil Bartlett (chemist),1932, /wiki/Neil_Bartlett_(chemist)
Sir Derek Barton,1918, /wiki/Sir_Derek_Barton
Fred Basolo,1920, /wiki/Fred_Basolo
Irina Beletskaya,1933, /wiki/Irina_Beletskaya
Ronnie Bell,1907, /wiki/Ronnie_Bell
Francesco Bellini (businessman),1947, /wiki/Francesco_Bellini_(businessman)
Paul Berg,1926, /wiki/Paul_Berg
Friedrich Bergius,1884, /wiki/Friedrich_Bergius
Johannes Martin Bijvoet,1892, /wiki/Johannes_Martin_Bijvoet
Dale L. Boger,1953, /wiki/Dale_L._Boger
Jan Boldingh,1915, /wiki/Jan_Boldingh
Carl Bosch,1872, /wiki/Carl_Bosch
Octave Leopold Boudouard,1872, /wiki/Octave_Leopold_Boudouard
E. J. Bowen,1898, /wiki/E._J._Bowen
Humphry Bowen,1929, /wiki/Humphry_Bowen
Paul D. Boyer,1918, /wiki/Paul_D._Boyer
Ronald Breslow,1931, /wiki/Ronald_Breslow
Johannes Nicolaus Br%C3%B8nsted,1879, /wiki/Johannes_Nicolaus_Br%C3%B8nsted
Herbert C. Brown,1912, /wiki/Herbert_C._Brown
Eduard Buchner,1860, /wiki/Eduard_Buchner
Buchwald%E2%80%93Hartwig amination,1955, /wiki/Buchwald%E2%80%93Hartwig_amination
William Merriam Burton,1865, /wiki/William_Merriam_Burton
Adolf Butenandt,1903, /wiki/Adolf_Butenandt
Melvin Calvin,1911, /wiki/Melvin_Calvin
Constantin C%C3%A2ndea,1887, /wiki/Constantin_C%C3%A2ndea
Wallace Carothers,1896, /wiki/Wallace_Carothers
Thomas Cech,1947, /wiki/Thomas_Cech
Martin Chalfie,1947, /wiki/Martin_Chalfie
Michelle Chang,1977, /wiki/Michelle_Chang
Yves Chauvin,1930, /wiki/Yves_Chauvin
Aaron Ciechanover,1947, /wiki/Aaron_Ciechanover
Edward L. Cochran,1929, /wiki/Edward_L._Cochran
Ernst Cohen,1869, /wiki/Ernst_Cohen
Elias James Corey,1928, /wiki/Elias_James_Corey
Robert Corey,1897, /wiki/Robert_Corey
Carl Ferdinand Cori,1896, /wiki/Carl_Ferdinand_Cori
Gerty Cori,1896, /wiki/Gerty_Cori
Charles D. Coryell,1912, /wiki/Charles_D._Coryell
John Cornforth,1917, /wiki/John_Cornforth
Frank Albert Cotton,1930, /wiki/Frank_Albert_Cotton
Charles Coulson,1910, /wiki/Charles_Coulson
Donald J. Cram,1919, /wiki/Donald_J._Cram
Paul Josef Crutzen,1933, /wiki/Paul_Josef_Crutzen
Marie Curie,1867, /wiki/Marie_Curie
Pierre Curie,1859, /wiki/Pierre_Curie
Robert Curl,1933, /wiki/Robert_Curl
Theodor Curtius,1857, /wiki/Theodor_Curtius
Carl Peter Henrik Dam,1895, /wiki/Carl_Peter_Henrik_Dam
Samuel J. Danishefsky,1936, /wiki/Samuel_J._Danishefsky
Raymond Davis Jr.,1914," /wiki/Raymond_Davis,_Jr."
Peter Debye,1884, /wiki/Peter_Debye
Johann Deisenhofer,1943, /wiki/Johann_Deisenhofer
Francesco DeMaria,1928, /wiki/Francesco_DeMaria
Fran%C3%A7ois Diederich,1952, /wiki/Fran%C3%A7ois_Diederich
Otto Diels,1876, /wiki/Otto_Diels
Edward Adelbert Doisy,1893, /wiki/Edward_Adelbert_Doisy
Davorin Dolar,1921, /wiki/Davorin_Dolar
David Adriaan van Dorp,1915, /wiki/David_Adriaan_van_Dorp
Herbert Henry Dow,1866, /wiki/Herbert_Henry_Dow
Vratislav Duch%C3%A1%C4%8Dek,1941, /wiki/Vratislav_Duch%C3%A1%C4%8Dek
Wikipedia:Citation needed,1861, /wiki/Wikipedia:Citation_needed
Kazimierz Fajans,1887, /wiki/Kazimierz_Fajans
John Bennett Fenn,1917, /wiki/John_Bennett_Fenn
Enrico Fermi,1901, /wiki/Enrico_Fermi
Hermann Emil Fischer,1852, /wiki/Hermann_Emil_Fischer
Franz Joseph Emil Fischer,1877, /wiki/Franz_Joseph_Emil_Fischer
Ernst Otto Fischer,1918, /wiki/Ernst_Otto_Fischer
Hans Fischer,1881, /wiki/Hans_Fischer
Paul Flory,1910, /wiki/Paul_Flory
Rosalind Franklin,1920, /wiki/Rosalind_Franklin
Herman Frasch,1851, /wiki/Herman_Frasch
Alexander Naumovich Frumkin,1895, /wiki/Alexander_Naumovich_Frumkin
Kenichi Fukui,1918, /wiki/Kenichi_Fukui
Merrill Garnett,1930, /wiki/Merrill_Garnett
William Giauque,1895, /wiki/William_Giauque
Walter Gilbert,1932, /wiki/Walter_Gilbert
Henry Gilman,1893, /wiki/Henry_Gilman
Lawrence E. Glendenin,1918, /wiki/Lawrence_E._Glendenin
Victor Goldschmidt,1888, /wiki/Victor_Goldschmidt
Moses Gomberg,1866, /wiki/Moses_Gomberg
Harry B. Gray,1935, /wiki/Harry_B._Gray
Victor Grignard,1871, /wiki/Victor_Grignard
Robert H. Grubbs,1942, /wiki/Robert_H._Grubbs
Fritz Haber,1868, /wiki/Fritz_Haber
Otto Hahn,1879, /wiki/Otto_Hahn
John Scott Haldane,1860, /wiki/John_Scott_Haldane
Charles Martin Hall,1863, /wiki/Charles_Martin_Hall
George S. Hammond,1921, /wiki/George_S._Hammond
Arthur Harden,1865, /wiki/Arthur_Harden
Odd Hassel,1897, /wiki/Odd_Hassel
Herbert A. Hauptman,1917, /wiki/Herbert_A._Hauptman
Robert Havemann,1910, /wiki/Robert_Havemann
Walter Haworth,1883, /wiki/Walter_Haworth
Alan J. Heeger,1936, /wiki/Alan_J._Heeger
Dudley R. Herschbach,1932, /wiki/Dudley_R._Herschbach
Avram Hershko,1937, /wiki/Avram_Hershko
Gerhard Herzberg,1904, /wiki/Gerhard_Herzberg
George de Hevesy,1885, /wiki/George_de_Hevesy
Jaroslav Heyrovsk%C3%BD,1890, /wiki/Jaroslav_Heyrovsk%C3%BD
Cyril Norman Hinshelwood,1897, /wiki/Cyril_Norman_Hinshelwood
Dorothy Hodgkin,1910, /wiki/Dorothy_Hodgkin
Jacobus Henricus van %27t Hoff,1852, /wiki/Jacobus_Henricus_van_%27t_Hoff
Albert Hofmann,1906, /wiki/Albert_Hofmann
Darleane C. Hoffman,1926, /wiki/Darleane_C._Hoffman
Roald Hoffmann,1937, /wiki/Roald_Hoffmann
Frederick Gowland Hopkins,1861, /wiki/Frederick_Gowland_Hopkins
Heinrich Hubert Maria Josef Houben,1875, /wiki/Heinrich_Hubert_Maria_Josef_Houben
Robert Huber,1937, /wiki/Robert_Huber
Christopher Kelk Ingold,1893, /wiki/Christopher_Kelk_Ingold
Vladimir Ipatieff,1867, /wiki/Vladimir_Ipatieff
Paul Janssen,1926, /wiki/Paul_Janssen
Fr%C3%A9d%C3%A9ric Joliot-Curie,1900, /wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie
