Name, Year, WikiLink
Nima Arkani-Hamed,1972, /wiki/Nima_Arkani-Hamed
Miguel Alcubierre,1964, /wiki/Miguel_Alcubierre
Derek Abbott,1960, /wiki/Derek_Abbott
Alexei Alexeyevich Abrikosov,1928, /wiki/Alexei_Alexeyevich_Abrikosov
Stephen L. Adler,1939, /wiki/Stephen_L._Adler
Alexander Animalu,1938, /wiki/Alexander_Animalu
Zhores Ivanovich Alferov,1930, /wiki/Zhores_Ivanovich_Alferov
Hannes Olof G%C3%B6sta Alfv%C3%A9n,1908, /wiki/Hannes_Olof_G%C3%B6sta_Alfv%C3%A9n
Jim Al-Khalili,1962, /wiki/Jim_Al-Khalili
Viktor Ambartsumian,1908, /wiki/Viktor_Ambartsumian
Anja Cetti Andersen,1965, /wiki/Anja_Cetti_Andersen
Hans Henrik Andersen,1937, /wiki/Hans_Henrik_Andersen
Philip Warren Anderson,1923, /wiki/Philip_Warren_Anderson
Neil Ashby,1934, /wiki/Neil_Ashby
Nima Arkani-Hamed,1972, /wiki/Nima_Arkani-Hamed
Ayyub Guliyev,1954, /wiki/Ayyub_Guliyev
V. Balakrishnan (physicist),1943, /wiki/V._Balakrishnan_(physicist)
Milla Baldo-Ceolin,1924, /wiki/Milla_Baldo-Ceolin
Tom Baehr-Jones,1980, /wiki/Tom_Baehr-Jones
Aiyalam Parameswaran Balachandran,1938, /wiki/Aiyalam_Parameswaran_Balachandran
William A. Bardeen,1941, /wiki/William_A._Bardeen
Johannes Georg Bednorz,1950, /wiki/Johannes_Georg_Bednorz
Jocelyn Bell Burnell,1943, /wiki/Jocelyn_Bell_Burnell
James Binney,1950, /wiki/James_Binney
Gerd Binnig,1947, /wiki/Gerd_Binnig
Raymond T. Birge,1887, /wiki/Raymond_T._Birge
James Bjorken,1934, /wiki/James_Bjorken
Patrick Blackett,1897, /wiki/Patrick_Blackett
Nicolaas Bloembergen,1920, /wiki/Nicolaas_Bloembergen
Louis-Victor de Broglie,1892, /wiki/Louis-Victor_de_Broglie
