Name , Nationality , Institutions , Alma mater , Notable awards , Fields , Known for, Nobel Laureate,,,,,,,
Theodore_William_Richards ,United States ,Harvard University ,Haverford College + Harvard University ,Davy Medal (1910) + Willard Gibbs Award, Physical chemistry ,  , , , Yes ,,,,,
Albert_Hofmann , Swiss ,  , University of Z\xc3\xbcrich ,  , Chemistry ,  , , , No ,,,,,
Vladimir_Prelog ,  , Czech Institute of Technology&University of Zagreb&ETH Z\xc3\xbcrich , Czech Technical University in Prague (Sc.D, 1929) , Marcel Benoist Prize (1964)&Davy Medal (1967)&Paul Karrer Gold Medal (1974)&Nobel Prize for Chemistry (1975) , Biochemistry ,  , , , No ,,,,
Frank_Sherwood_Rowland , United States , University of California, Irvine , Ohio Wesleyan University (B.A.), University of Chicago (Ph.D.) , 1995 Nobel Prize in Chemistry&1994 Albert Einstein World Award of Science&1993 Peter Debye Award&1989 Japan Prize&1983 Tyler Prize for Environmental Achievement&1976 Tolman Award , Chemistry ,  , , , No ,,,
Stanford_Moore , U.S. , Rockefeller University , Vanderbilt University&University of Wisconsin\xe2\x80\x93Madison , Nobel Prize in Chemistry in 1972 , biochemistry ,  , , , Yes ,,,,,
Ilya_Prigogine , Belgian , Universit\xc3\xa9 Libre de Bruxelles&International Solvay Institute&University of Texas, Austin , Universit\xc3\xa9 Libre de Bruxelles , Francqui Prize (1955)&Rumford Medal (1976)&Nobel Prize for Chemistry (1977) , Chemistry&Physics ,  , , , No ,,,,
Robert_Burns_Woodward ,  , Harvard University , MIT , Davy Medal (1959)&National Medal of Science (1964)&Nobel Prize in Chemistry (1965)&Copley Medal (1978) , Organic chemistry ,  , , , Yes ,,,,,
E._J._Bowen , British , University College, Oxford , Balliol College, Oxford , Davy Medal (1963)&Fellow of the Royal Society[4] , Physical chemistry, photochemistry ,  , , , No ,,
Fr%C3%A9d%C3%A9ric_Joliot-Curie , France ,  , School of Chemistry and Physics of the city of Paris , Nobel Prize for Chemistry (1935)&Hughes Medal (1947) , Physics ,  , , , Yes ,,,,,
Herbert_Henry_Dow ,  ,  , Case School of Applied Science , Perkin Medal (1930) , chemistry ,  , , , No ,,,,,
Paul_Flory , United States , DuPont, Stanford University, Carnegie Mellon University, Cornell University , Manchester University (Indiana) and Ohio State University , Nobel Prize for Chemistry (1974)&National Medal of Science (1974)&Priestley Medal (1974)&Perkin Medal (1977)&Elliott Cresson Medal (1971)&Peter Debye Award (1969)&Charles Goodyear Medal (1968) , Physical chemistry ,  , , , No ,,
Constantin_C%C3%A2ndea , \xc2\xa0Romanian , Polytechnic University of Timi\xc8\x99oara , K\xc3\xb6niglich Bayerische Technische Hochschule M\xc3\xbcnchen ,  , Chemistry ,  , , , No ,,,,,
Francesco_Bellini_(businessman) , Italian, Canadian ,  ,  , severals awards receive from 1987 to 2005 , research scientist&administrator&entrepreneur&business man ,  , , , No ,,,,
Edwin_McMillan , United States , University of California, Berkeley&Berkeley Radiation Laboratory , California Institute of Technology&Princeton University , Nobel Prize in Chemistry (1951)&Atoms for Peace Award (1963)&National Medal of Science (1990) , Chemistry ,  , , , No ,,,,
Gerty_Cori ,  ,  ,  ,  ,  ,  , , , No ,,,,,
Frederick_Gowland_Hopkins , United Kingdom , University of Cambridge , Kings College London&Guys Hospital , Nobel Prize (1929)&Royal Medal (1918)&Copley Medal (1926)&Albert Medal (1934)&Order of Merit (1935) , Biochemistry ,  , , , Yes ,,,,,
Walter_Gilbert , U.S. , Harvard University&University of Cambridge , Harvard University&Trinity College, Cambridge , NAS Award in Molecular Biology (1968)&Louisa Gross Horwitz Prize (1979)&Nobel Prize in Chemistry (1980) , Biochemistry, physics ,  , , , No ,,,
Peter_Debye ,  , &University of Z\xc3\xbcrich (1911\xe2\x80\x9312)&University of Utrecht (1912\xe2\x80\x9314)&University of G\xc3\xb6ttingen (1914\xe2\x80\x9320)&ETH Z\xc3\xbcrich (1920\xe2\x80\x9327)&University of Leipzig (1927\xe2\x80\x9334)&University of Berlin&Cornell University (1940\xe2\x80\x9350) , RWTH Aachen&University of Munich , Rumford Medal (1930)&Lorentz Medal (1935)&Nobel Prize in Chemistry (1936)&Willard Gibbs Award (1949)&Max Planck Medal (1950)&Priestley Medal (1963)&National Medal of Science (1965) , Physics, Chemistry ,  , , , Yes ,,,,
Jan_Boldingh , Dutch ,  , Utrecht University ,  , chemistry ,  , , , No ,,,,,
Jaroslav_Heyrovsk%C3%BD , Czechoslovakia , Royal Air Force , Charles University&University College, London , Nobel Prize for Chemistry (1959)&Fellow of the Royal Society[1] , Polarography&Electroanalytical chemistry ,  , , , No ,,,,
Robert_Curl ,  , Rice University, Harvard University , Rice, University of California, Berkeley, PhD , Nobel Prize in Chemistry in 1996. Cross-cultural ambassador at Sorbonne University UNESCO Club , Chemistry ,  , , , No ,
Richard_Abegg , German , University of G\xc3\xb6ttingen&University of Stockholm&Wroc\xc5\x82aw University of Technology , University of Kiel&University of T\xc3\xbcbingen&University of Berlin ,  , Chemist ,  , , , No ,,,,,
Vincent_du_Vigneaud , United States ,  , University of Rochester , Nobel Prize for Chemistry (1955)&Willard Gibbs Award (1956) , Chemistry ,  , , , Yes ,,,,,
John_Kendrew , United Kingdom , Royal Air Force , University of Cambridge , Nobel Prize for Chemistry (1962)&Royal Medal (1965) , Crystallography ,  , , , Yes ,,,,,
Paul_Karrer , Switzerland , Universit\xc3\xa4t Z\xc3\xbcrich , Universit\xc3\xa4t Z\xc3\xbcrich , Marcel Benoist Prize (1922)&Nobel Prize for Chemistry (1937) , Chemistry ,  , , , Yes ,,,,,
Moses_Gomberg ,  , University of Michigan , University of Michigan , Willard Gibbs Award (1925) , chemistry ,  , , , No ,,,,,
Arthur_Harden , United Kingdom , Lister Institute , University of Manchester MSc,&University of Erlangen PhD , Nobel Prize in Chemistry (1929)&Davy Medal (1935) , Biochemistry ,  , , , No ,,,,
Sir_Geoffrey_Wilkinson , United Kingdom , University of California, Berkeley&Harvard University&Imperial College , Imperial College , Nobel Prize in Chemistry (1973)&Royal Medal (1981)&Davy Medal (1996)&Fellow of the Royal Society[1] , Inorganic chemistry ,  , , , No ,,,,
William_Merriam_Burton ,  , Standard Oil ,  , Willard Gibbs Award (1918)&Perkin Medal (1922) , Chemistry ,  , , , No ,,,,,
Wilhelm_Ostwald , Baltic German by birth. Prussian, German (after 1871) , University of Dorpat&Riga Polytechnicum&University of Leipzig , University of Dorpat , Nobel Prize for Chemistry (1909) , Physical chemistry ,  , , , No ,,,,
Johann_Deisenhofer , Biophysics, Biochemistry , &&&Technical University of Munich&Max Planck Institute for Biochemistry[1]&&& , Robert Huber[1] , Website&www.utsouthwestern.edu/labs/deisenhofer , University of Texas Southwestern Medical Center[1] ,  , , , No ,,,,
Lawrence_E._Glendenin , American , Oak Ridge National Laboratory, Argonne National Laboratory , University of Chicago, Massachusetts Institute of Technology , Glenn T. Seaborg Award for Nuclear Chemistry (1974) , Chemistry (nuclear) ,  , , , No ,,,
Charles_Lee_Reese , American , The DuPont Company; Johns Hopkins University; The Citadel , The University of Virginia and Heidelberg University ,  , Chemistry and Industrial Chemistry ,  , , , No ,,,,,
Chaim_Weizmann , Israeli-British ,  ,  ,  ,  ,  , , , No ,,,,,
Mikhail_Tsvet , Russia ,  ,  ,  , Botany ,  , , , No ,,,,,
Neil_Bartlett_(chemist) , United Kingdom , University of British Columbia&Princeton University&University of California, Berkeley , Kings College, University of Durham (Newcastle University) , Elliott Cresson Medal (1968)&Davy Medal (2002) , Chemistry ,  , , , No ,,,
Lars_Onsager , Norway, U.S. , ETH Z\xc3\xbcrich&Johns Hopkins University&Brown University&Yale University&University of Miami , Norwegian Institute of Technology , Lorentz Medal (1958)&Willard Gibbs Award (1962)&Peter Debye Award (1965)&Nobel Prize in Chemistry (1968)&National Medal of Science (1968) , Physical chemist ,  , , , No ,,,,
Victor_Goldschmidt ,  , University of Oslo , University of Oslo , Foreign Member of the Royal Society&Elliott Cresson Medal (1903)&Wollaston Medal (1944) , Geochemistry ,  , , , No ,,,,,
Heinrich_Otto_Wieland , Germany , &Technical University of Munich 1913-21,&University of Freiburg 1921-25,&University of Munich 1925- , University of Munich , &&&Nobel Prize for Chemistry (1927)&&Otto Hahn Prize for Chemistry and Physics (1955)&&Fellow of the Royal Society[1]&&& , Chemistry ,  , , , No ,,,
Elias_James_Corey , United States , Harvard University , Massachusetts Institute of Technology , ACS Award in Pure Chemistry (1960)&Chevreul Medal (1964)&Fritzsche Award (1967)&Intra-Science Foundation Award (1967)&Harrison Howe Award (1970)&Centenary Medal (1971)&Ciba Foundation Medal (1972)&Linus Pauling Award (1973)&Dickson Prize (1973)&George Ledlie Prize (1973)&Remsen Award (1974)&Arthur C. Cope Award (1976)&Buchman Memorial Award (1978)&Franklin Medal (1978)&Scientific Achievement Award Medal (1979)&J. G. Kirkwood Award (1980)&C. S. Hamilton Award (1980)&Chemical Pioneer Award (1981)&Lewis S. Rosenstiel Award (1981)&Paul Karrer Gold Medal (1982)&Tetrahedron Prize (1983)&Willard Gibbs Award (1984)&Paracelsus Award (1984)&Madison Marshall Award (1985)&V.D. Mattia Award (1985)&Wolf Prize in Chemistry (1986)&Silliman Award (1986)&Robert Robinson Medal (1988)&National Medal of Science (1988)&Japan Prize (1989)&Janot Medal (1990)&Nobel Prize in Chemistry (1990)&Roger Adams Award (1993)&Priestley Medal (2004) , Organic chemistry ,  , , , Yes ,,,,,
