Name,Born,Died,Nationality,Institutions,Alma mater,Notable awards,Fields,Total Count,Recursion,Nobel Laureate
Theodore William Richards,1868,1928,United States,Harvard University,Haverford College_Harvard University,Davy Medal_Willard Gibbs Award,Physical chemistry,918,14471,Yes
Albert Hofmann,1906,2008,Switzerland,NONE,University of Zurich,NONE,Chemistry,1906,26734,No
Vladimir Prelog,1906,1998,Croatia,Czech Institute of Technology_University of Zagre_ETH Zurich,Czech Technical University in Prague,Marcel Benoist Prize_Davy Medal_Paul Karrer Gold Medal,Biochemistry,3102,32858,Yes
Frank Sherwood Rowland,1927,2012,United States,University of California Irvine,Ohio Wesleyan University_University of Chicago,Albert Einstein World Award of Science_Peter Debye Award_Japan Prize_Tyler Prize for Environmental Achievement_Tolman Award,Chemistry,1420,19146,Yes
Stanford Moore,1913,1982,United States,Rockefeller University,Vanderbilt University_University of Wisconsin Madison,NONE,Biochemistry,26436,138029,Yes
Ilya Prigogine,1917,2003,Belgium,University Libre de Bruxelles_International Solvay Institute_University of Texas Austin,University Libre de Bruxelles,Francqui Prize_Rumford Medal,Chemistry_Physics,35355,274237,Yes
Robert Burns Woodward,1917,1979,United States,Harvard University,MIT,Davy Medal_National Medal of Science,Organic chemistry,5857,79667,Yes
E.J. Bowen,1898,1980,British,University of Oxford,University of Oxford,Davy Medal_Fellow of the Royal Society,Physical chemistry,930,38105,No
Fr??d??ric Joliot-Curie,1900,1958,France,Paris Faculty of Science,School of Chemistry and Physics of the city of Paris,NONE,Physics,2210,14557,Yes
Herbert Henry Dow,1866,1930,United States,Dow Chemical,Case School of Applied Science,Perkin Medal,Chemistry,229,648,No
Paul Flory,1910,1985,United States,DuPont_Stanford University_Carnegie Mellon University_Cornell University,Manchester University_Ohio State University,Charles Goodyear Medal_Peter Debye Award_Elliott Cresson Medal_Perkin Medal_Priestley Medal_National Medal of Science,Physical chemistry,41223,238771,Yes
Constantin C?›ndea,1887,1971,Romania,Polytechnic University of Timisoara,Koniglich Bayerische Technische Hochschule Munchen,NONE,Chemistry,31,59,No
Edwin McMillan,1907,1991,United States,University of California Berkeley_Berkeley Radiation Laboratory,California Institute of Technology_Princeton University,NONE,Chemistry,1031,22259,Yes
Gerty Cori,1896,1957,United States,Washington University,Karl-Ferdinands Universitat,NONE,Chemistry,2767,49311,Yes
Frederick Gowland Hopkins,1861,1947,United Kingdom,University of Cambridge,Kings College London_Guys Hospital,Royal Medal_Copley Medal_Albert Meda_Order of Merit,Biochemistry,1321,32698,Yes
Walter Gilbert,1932,NA,United States,Harvard University_University of Cambridge,Harvard University_University of Cambridge,NAS Award in Molecular Biology_Louisa Gross Horwitz Prize,Biochemistry_Physics,39974,335119,Yes
Peter Debye,1884,1966,United States,University of Zurich_University of Utrecht_University of Gottingen_ETH Zurich_University of Leipzig_University of Berlin_Cornell University,RWTH Aachen_University of Munich,Rumford Meda_Lorentz Medal,Physics_Chemistry,8555,134595,Yes
Jan Boldingh,1915,2003,Netherlands,Unilever,Utrecht University,NONE,Chemistry,472,12512,No
Jaroslav Heyrovsk?«,1890,1967,Czechoslovakia,Royal Air Force,Charles University_University College London,NONE,Polarography_Electroanalytical chemistry,2183,22422,Yes
Robert Curl,1933,NA,United States,Rice University_Harvard University,Rice University_University of California Berkeley,NONE,NONE,14936,136164,Yes
